Log
At time 2 process 1 started | Arrival time:1 | Total Runtime:27 | Remaining Time:27 | Waiting Time:1
At time 29 process 4 Stopped | Arrival time:17 | Total Runtime:12 | Remaining Time:10 | Waiting Time:10
At time 29 process 3 Resumed | Arrival time:17 | Total Runtime:9 | Remaining Time:7 | Waiting Time:10
At time 32 process 3 Stopped | Arrival time:17 | Total Runtime:9 | Remaining Time:4 | Waiting Time:10
At time 32 process 5 started | Arrival time:23 | Total Runtime:12 | Remaining Time:12 | Waiting Time:9
At time 35 process 5 Stopped | Arrival time:23 | Total Runtime:12 | Remaining Time:10 | Waiting Time:10
At time 35 process 1 Resumed | Arrival time:1 | Total Runtime:27 | Remaining Time:8 | Waiting Time:15
At time 38 process 1 Stopped | Arrival time:1 | Total Runtime:27 | Remaining Time:4 | Waiting Time:14
At time 38 process 4 Resumed | Arrival time:17 | Total Runtime:12 | Remaining Time:10 | Waiting Time:19
At time 41 process 4 Stopped | Arrival time:17 | Total Runtime:12 | Remaining Time:7 | Waiting Time:19
At time 41 process 3 Resumed | Arrival time:17 | Total Runtime:9 | Remaining Time:4 | Waiting Time:19
At time 44 process 3 finished | Arrival time:17 | Total Runtime:9 | Remaining Time:0 | Waiting Time:18 | TA Time:27 | WTA: 3.00 | Processed Time:9
At time 44 process 5 resumed | Arrival time:23 | Total Runtime:12 | Remaining Time:10 | Waiting Time:19
At time 44 process 5 Stopped | Arrival time:23 | Total Runtime:12 | Remaining Time:10 | Waiting Time:19
At time 44 process 1 Resumed | Arrival time:1 | Total Runtime:27 | Remaining Time:4 | Waiting Time:20
At time 44 process 1 Stopped | Arrival time:1 | Total Runtime:27 | Remaining Time:4 | Waiting Time:20
At time 44 process 4 Resumed | Arrival time:17 | Total Runtime:12 | Remaining Time:7 | Waiting Time:22
At time 47 process 4 Stopped | Arrival time:17 | Total Runtime:12 | Remaining Time:4 | Waiting Time:22
At time 47 process 5 Resumed | Arrival time:23 | Total Runtime:12 | Remaining Time:10 | Waiting Time:22
At time 50 process 5 Stopped | Arrival time:23 | Total Runtime:12 | Remaining Time:7 | Waiting Time:22
At time 50 process 1 Resumed | Arrival time:1 | Total Runtime:27 | Remaining Time:4 | Waiting Time:26
At time 53 process 1 Stopped | Arrival time:1 | Total Runtime:27 | Remaining Time:0 | Waiting Time:25
At time 53 process 4 Resumed | Arrival time:17 | Total Runtime:12 | Remaining Time:4 | Waiting Time:28
At time 56 process 4 Stopped | Arrival time:17 | Total Runtime:12 | Remaining Time:1 | Waiting Time:28
At time 56 process 5 Resumed | Arrival time:23 | Total Runtime:12 | Remaining Time:7 | Waiting Time:28
At time 59 process 5 Stopped | Arrival time:23 | Total Runtime:12 | Remaining Time:5 | Waiting Time:29
At time 59 process 1 Resumed | Arrival time:1 | Total Runtime:27 | Remaining Time:0 | Waiting Time:31
At time 59 process 1 finished | Arrival time:1 | Total Runtime:27 | Remaining Time:0 | Waiting Time:31 | TA Time:58 | WTA: 2.00 | Processed Time:27
At time 59 process 4 resumed | Arrival time:17 | Total Runtime:12 | Remaining Time:0 | Waiting Time:30
At time 59 process 4 Stopped | Arrival time:17 | Total Runtime:12 | Remaining Time:0 | Waiting Time:30
At time 59 process 5 Resumed | Arrival time:23 | Total Runtime:12 | Remaining Time:4 | Waiting Time:28
At time 62 process 5 Stopped | Arrival time:23 | Total Runtime:12 | Remaining Time:0 | Waiting Time:27
At time 62 process 4 Resumed | Arrival time:17 | Total Runtime:12 | Remaining Time:0 | Waiting Time:33
At time 62 process 4 finished | Arrival time:17 | Total Runtime:12 | Remaining Time:0 | Waiting Time:33 | TA Time:45 | WTA: 3.00 | Processed Time:12
At time 62 process 5 resumed | Arrival time:23 | Total Runtime:12 | Remaining Time:0 | Waiting Time:27
At time 62 process 5 Stopped | Arrival time:23 | Total Runtime:12 | Remaining Time:0 | Waiting Time:27
At time 62 process 5 Resumed | Arrival time:23 | Total Runtime:12 | Remaining Time:0 | Waiting Time:27
At time 62 process 5 finished | Arrival time:23 | Total Runtime:12 | Remaining Time:0 | Waiting Time:27 | TA Time:39 | WTA: 3.00 | Processed Time:12
