Log
At time 4 process 1 started | Arrival time:3 | Total Runtime:22 | Remaining Time:22 | Waiting Time:1
At time 61 process 5 resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:1 | Waiting Time:34
At time 61 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:1 | Waiting Time:34
At time 61 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:5 | Waiting Time:33
At time 61 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:5 | Waiting Time:33
At time 61 process 5 Resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:1 | Waiting Time:34
At time 61 process 5 finished | Arrival time:17 | Total Runtime:11 | Remaining Time:0 | Waiting Time:33 | TA Time:44 | WTA: 4.00 | Processed Time:11
At time 61 process 4 resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:5 | Waiting Time:33
At time 61 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:5 | Waiting Time:33
At time 61 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:5 | Waiting Time:33
At time 61 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:5 | Waiting Time:33
At time 61 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:5 | Waiting Time:33
At time 62 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:4 | Waiting Time:33
At time 62 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:4 | Waiting Time:33
At time 63 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:2 | Waiting Time:32
At time 63 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:2 | Waiting Time:32
At time 64 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:1 | Waiting Time:32
At time 64 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:1 | Waiting Time:32
At time 65 process 4 finished | Arrival time:13 | Total Runtime:20 | Remaining Time:0 | Waiting Time:32 | TA Time:52 | WTA: 2.00 | Processed Time:20
